Year,States,States Code,Age Groups,Count
1999,Connecticut,9,45-49 years,846
1999,Connecticut,9,50-54 years,1333
1999,Connecticut,9,55-59 years,1574
1999,Connecticut,9,60-64 years ,1856
1999,Connecticut,9,65-69 years,2178
1999,Connecticut,9,70-74 years,2605
1999,Connecticut,9,75-79 years,2425
1999,Connecticut,9,80-84 years,1856
1999,Connecticut,9,85+ years,1400
1999,Delaware,10,25-29 years,16
1999,Delaware,10,30-34 years,47
1999,Delaware,10,35-39 years,66
1999,Delaware,10,40-44 years,122
1999,Delaware,10,45-49 years,156
1999,Delaware,10,50-54 years,269
1999,Delaware,10,55-59 years,387
1999,Delaware,10,60-64 years ,454
1999,Delaware,10,65-69 years,547
1999,Delaware,10,70-74 years,598
1999,Delaware,10,75-79 years,454
1999,Delaware,10,80-84 years,298
1999,Delaware,10,85+ years,194
1999,District of Columbia,11,20-24 years,17
1999,District of Columbia,11,25-29 years,26
1999,District of Columbia,11,30-34 years,38
1999,District of Columbia,11,35-39 years,58
1999,District of Columbia,11,40-44 years,97
1999,District of Columbia,11,45-49 years,143
1999,District of Columbia,11,50-54 years,234
1999,District of Columbia,11,55-59 years,287
1999,District of Columbia,11,60-64 years ,308
1999,District of Columbia,11,65-69 years,352
1999,District of Columbia,11,70-74 years,383
1999,District of Columbia,11,75-79 years,332
1999,District of Columbia,11,80-84 years,234
1999,District of Columbia,11,85+ years,192
1999,Florida,12,< 1 year,20
1999,Florida,12,1-4 years,110
1999,Florida,12,5-9 years,101
1999,Florida,12,10-14 years,90
1999,Florida,12,15-19 years,118
1999,Florida,12,20-24 years,202
1999,Florida,12,25-29 years,402
1999,Florida,12,30-34 years,796
1999,Florida,12,35-39 years,1443
1999,Florida,12,40-44 years,2504
1999,Florida,12,45-49 years,3683
1999,Florida,12,50-54 years,5405
1999,Florida,12,55-59 years,7149
1999,Florida,12,60-64 years ,9425
1999,Florida,12,65-69 years,13158
1999,Florida,12,70-74 years,15573
1999,Florida,12,75-79 years,14314
1999,Florida,12,80-84 years,9619
1999,Florida,12,85+ years,7046
1999,Georgia,13,1-4 years,63
1999,Georgia,13,5-9 years,67
1999,Georgia,13,10-14 years,41
1999,Georgia,13,15-19 years,53
1999,Georgia,13,20-24 years,91
1999,Georgia,13,25-29 years,193
1999,Georgia,13,30-34 years,382
1999,Georgia,13,35-39 years,653
1999,Georgia,13,40-44 years,1161
1999,Georgia,13,45-49 years,1748
1999,Georgia,13,50-54 years,2488
1999,Georgia,13,55-59 years,3083
1999,Georgia,13,60-64 years ,3356
1999,Georgia,13,65-69 years,3933
1999,Georgia,13,70-74 years,3939
1999,Georgia,13,75-79 years,3200
1999,Georgia,13,80-84 years,2002
1999,Georgia,13,85+ years,1545
1999,Hawaii,15,25-29 years,32
1999,Hawaii,15,30-34 years,59
1999,Hawaii,15,35-39 years,110
1999,Hawaii,15,40-44 years,211
1999,Hawaii,15,45-49 years,316
1999,Hawaii,15,50-54 years,359
1999,Hawaii,15,55-59 years,432
1999,Hawaii,15,60-64 years ,481
1999,Hawaii,15,65-69 years,611
1999,Hawaii,15,70-74 years,808
1999,Hawaii,15,75-79 years,712
1999,Hawaii,15,80-84 years,453
1999,Hawaii,15,85+ years,383
1999,Idaho,16,15-19 years,19
1999,Idaho,16,25-29 years,47
1999,Idaho,16,30-34 years,48
1999,Idaho,16,35-39 years,75
1999,Idaho,16,40-44 years,158
1999,Idaho,16,45-49 years,269
1999,Idaho,16,50-54 years,344
1999,Idaho,16,55-59 years,433
1999,Idaho,16,60-64 years ,537
1999,Idaho,16,65-69 years,659
1999,Idaho,16,70-74 years,687
1999,Idaho,16,75-79 years,640
1999,Idaho,16,80-84 years,444
1999,Idaho,16,85+ years,363
1999,Illinois,17,< 1 year,18
1999,Illinois,17,1-4 years,108
1999,Illinois,17,5-9 years,85
1999,Illinois,17,10-14 years,81
1999,Illinois,17,15-19 years,110
1999,Illinois,17,20-24 years,178
1999,Illinois,17,25-29 years,320
1999,Illinois,17,30-34 years,566
1999,Illinois,17,35-39 years,1054
1999,Illinois,17,40-44 years,1876
1999,Illinois,17,45-49 years,2838
1999,Illinois,17,50-54 years,3881
1999,Illinois,17,55-59 years,5016
1999,Illinois,17,60-64 years ,5968
1999,Illinois,17,65-69 years,7379
1999,Illinois,17,70-74 years,8109
1999,Illinois,17,75-79 years,7432
1999,Illinois,17,80-84 years,5118
1999,Illinois,17,85+ years,4202
1999,Indiana,18,1-4 years,54
1999,Indiana,18,5-9 years,36
1999,Indiana,18,10-14 years,36
1999,Indiana,18,15-19 years,57
1999,Indiana,18,20-24 years,78
1999,Indiana,18,25-29 years,158
1999,Indiana,18,30-34 years,305
1999,Indiana,18,35-39 years,532
1999,Indiana,18,40-44 years,819
1999,Indiana,18,45-49 years,1357
1999,Indiana,18,50-54 years,1904
1999,Indiana,18,55-59 years,2347
1999,Indiana,18,60-64 years ,2844
1999,Indiana,18,65-69 years,3493
1999,Indiana,18,70-74 years,4064
1999,Indiana,18,75-79 years,3386
1999,Indiana,18,80-84 years,2225
1999,Indiana,18,85+ years,1662
1999,Iowa,19,1-4 years,22
1999,Iowa,19,5-9 years,20
1999,Iowa,19,10-14 years,16
1999,Iowa,19,15-19 years,27
1999,Iowa,19,20-24 years,41
1999,Iowa,19,25-29 years,82
1999,Iowa,19,30-34 years,138
1999,Iowa,19,35-39 years,254
1999,Iowa,19,40-44 years,412
1999,Iowa,19,45-49 years,626
1999,Iowa,19,50-54 years,911
1999,Iowa,19,55-59 years,1125
1999,Iowa,19,60-64 years ,1506
1999,Iowa,19,65-69 years,1991
1999,Iowa,19,70-74 years,2306
1999,Iowa,19,75-79 years,2156
1999,Iowa,19,80-84 years,1571
1999,Iowa,19,85+ years,1424
1999,Kansas,20,1-4 years,28
1999,Kansas,20,10-14 years,17
1999,Kansas,20,15-19 years,19
1999,Kansas,20,20-24 years,32
1999,Kansas,20,25-29 years,75
1999,Kansas,20,30-34 years,135
1999,Kansas,20,35-39 years,247
1999,Kansas,20,40-44 years,399
1999,Kansas,20,45-49 years,598
1999,Kansas,20,50-54 years,836
1999,Kansas,20,55-59 years,1037
1999,Kansas,20,60-64 years ,1206
1999,Kansas,20,65-69 years,1582
1999,Kansas,20,70-74 years,1866
1999,Kansas,20,75-79 years,1685
1999,Kansas,20,80-84 years,1244
1999,Kansas,20,85+ years,1100
1999,Kentucky,21,1-4 years,33
1999,Kentucky,21,5-9 years,22
1999,Kentucky,21,10-14 years,21
1999,Kentucky,21,15-19 years,37
1999,Kentucky,21,20-24 years,66
1999,Kentucky,21,25-29 years,112
1999,Kentucky,21,30-34 years,195
1999,Kentucky,21,35-39 years,386
1999,Kentucky,21,40-44 years,685
1999,Kentucky,21,45-49 years,1060
1999,Kentucky,21,50-54 years,1448
1999,Kentucky,21,55-59 years,1906
1999,Kentucky,21,60-64 years ,2340
1999,Kentucky,21,65-69 years,2721
1999,Kentucky,21,70-74 years,2866
1999,Kentucky,21,75-79 years,2440
1999,Kentucky,21,80-84 years,1620
1999,Kentucky,21,85+ years,1289
1999,Louisiana,22,1-4 years,26
1999,Louisiana,22,5-9 years,34
1999,Louisiana,22,10-14 years,20
1999,Louisiana,22,15-19 years,49
1999,Louisiana,22,20-24 years,62
1999,Louisiana,22,25-29 years,117
1999,Louisiana,22,30-34 years,170
1999,Louisiana,22,35-39 years,393
1999,Louisiana,22,40-44 years,674
1999,Louisiana,22,45-49 years,1020
1999,Louisiana,22,50-54 years,1450
1999,Louisiana,22,55-59 years,1792
1999,Louisiana,22,60-64 years ,2141
1999,Louisiana,22,65-69 years,2693
1999,Louisiana,22,70-74 years,2900
1999,Louisiana,22,75-79 years,2453
1999,Louisiana,22,80-84 years,1579
1999,Louisiana,22,85+ years,1286
1999,Maine,23,25-29 years,27
1999,Maine,23,30-34 years,62
1999,Maine,23,35-39 years,104
1999,Maine,23,40-44 years,168
1999,Maine,23,45-49 years,312
1999,Maine,23,50-54 years,437
1999,Maine,23,55-59 years,573
1999,Maine,23,60-64 years ,693
1999,Maine,23,65-69 years,1028
1999,Maine,23,70-74 years,1049
1999,Maine,23,75-79 years,969
1999,Maine,23,80-84 years,594
1999,Maine,23,85+ years,510
1999,Maryland,24,1-4 years,27
1999,Maryland,24,5-9 years,35
1999,Maryland,24,10-14 years,42
1999,Maryland,24,15-19 years,43
1999,Maryland,24,20-24 years,59
1999,Maryland,24,25-29 years,149
1999,Maryland,24,30-34 years,273
1999,Maryland,24,35-39 years,474
1999,Maryland,24,40-44 years,943
1999,Maryland,24,45-49 years,1298
1999,Maryland,24,50-54 years,1850
1999,Maryland,24,55-59 years,2342
1999,Maryland,24,60-64 years ,2689
1999,Maryland,24,65-69 years,3043
1999,Maryland,24,70-74 years,3243
1999,Maryland,24,75-79 years,2943
1999,Maryland,24,80-84 years,1843
1999,Maryland,24,85+ years,1408
1999,Massachusetts,25,1-4 years,55
1999,Massachusetts,25,5-9 years,44
1999,Massachusetts,25,10-14 years,34
1999,Massachusetts,25,15-19 years,49
1999,Massachusetts,25,20-24 years,96
1999,Massachusetts,25,25-29 years,197
1999,Massachusetts,25,30-34 years,349
1999,Massachusetts,25,35-39 years,616
1999,Massachusetts,25,40-44 years,1038
1999,Massachusetts,25,45-49 years,1542
1999,Massachusetts,25,50-54 years,2304
1999,Massachusetts,25,55-59 years,2906
1999,Massachusetts,25,60-64 years ,3247
1999,Massachusetts,25,65-69 years,4134
1999,Massachusetts,25,70-74 years,4695
1999,Massachusetts,25,75-79 years,4427
1999,Massachusetts,25,80-84 years,2973
1999,Massachusetts,25,85+ years,2511
1999,Michigan,26,1-4 years,78
1999,Michigan,26,5-9 years,62
1999,Michigan,26,10-14 years,61
1999,Michigan,26,15-19 years,87
1999,Michigan,26,20-24 years,148
1999,Michigan,26,25-29 years,260
1999,Michigan,26,30-34 years,490
1999,Michigan,26,35-39 years,938
1999,Michigan,26,40-44 years,1626
1999,Michigan,26,45-49 years,2361
1999,Michigan,26,50-54 years,3417
1999,Michigan,26,55-59 years,4360
1999,Michigan,26,60-64 years ,5236
1999,Michigan,26,65-69 years,6443
1999,Michigan,26,70-74 years,7284
1999,Michigan,26,75-79 years,6501
1999,Michigan,26,80-84 years,4245
1999,Michigan,26,85+ years,3121
1999,Minnesota,27,1-4 years,32
1999,Minnesota,27,5-9 years,25
1999,Minnesota,27,10-14 years,29
1999,Minnesota,27,15-19 years,48
1999,Minnesota,27,20-24 years,83
1999,Minnesota,27,25-29 years,135
1999,Minnesota,27,30-34 years,237
1999,Minnesota,27,35-39 years,418
1999,Minnesota,27,40-44 years,690
1999,Minnesota,27,45-49 years,1047
1999,Minnesota,27,50-54 years,1460
1999,Minnesota,27,55-59 years,1881
1999,Minnesota,27,60-64 years ,2296
1999,Minnesota,27,65-69 years,2601
1999,Minnesota,27,70-74 years,2985
1999,Minnesota,27,75-79 years,2715
1999,Minnesota,27,80-84 years,2027
1999,Minnesota,27,85+ years,1508
1999,Missouri,29,1-4 years,52
1999,Missouri,29,5-9 years,27
1999,Missouri,29,10-14 years,29
1999,Missouri,29,15-19 years,42
1999,Missouri,29,20-24 years,52
1999,Missouri,29,25-29 years,126
1999,Missouri,29,30-34 years,220
1999,Missouri,29,35-39 years,470
1999,Missouri,29,40-44 years,801
1999,Missouri,29,45-49 years,1277
1999,Missouri,29,50-54 years,1819
1999,Missouri,29,55-59 years,2428
1999,Missouri,29,60-64 years ,2919
1999,Missouri,29,65-69 years,3730
1999,Missouri,29,70-74 years,3891
1999,Missouri,29,75-79 years,3457
1999,Missouri,29,80-84 years,2249
1999,Missouri,29,85+ years,1898
1999,Montana,30,25-29 years,30
1999,Montana,30,30-34 years,36
1999,Montana,30,35-39 years,83
1999,Montana,30,40-44 years,134
1999,Montana,30,45-49 years,192
1999,Montana,30,50-54 years,316
1999,Montana,30,55-59 years,386
1999,Montana,30,60-64 years ,472
1999,Montana,30,65-69 years,571
1999,Montana,30,70-74 years,662
1999,Montana,30,75-79 years,584
1999,Montana,30,80-84 years,387
1999,Montana,30,85+ years,325
1999,Nebraska,31,1-4 years,22
1999,Nebraska,31,15-19 years,16
1999,Nebraska,31,20-24 years,23
1999,Nebraska,31,25-29 years,40
1999,Nebraska,31,30-34 years,79
1999,Nebraska,31,35-39 years,159
1999,Nebraska,31,40-44 years,210
1999,Nebraska,31,45-49 years,350
1999,Nebraska,31,50-54 years,471
1999,Nebraska,31,55-59 years,613
1999,Nebraska,31,60-64 years ,786
1999,Nebraska,31,65-69 years,1143
1999,Nebraska,31,70-74 years,1221
1999,Nebraska,31,75-79 years,1063
1999,Nebraska,31,80-84 years,826
1999,Nebraska,31,85+ years,736
1999,Nevada,32,1-4 years,17
1999,Nevada,32,15-19 years,16
1999,Nevada,32,20-24 years,23
1999,Nevada,32,25-29 years,44
1999,Nevada,32,30-34 years,75
1999,Nevada,32,35-39 years,122
1999,Nevada,32,40-44 years,241
1999,Nevada,32,45-49 years,323
1999,Nevada,32,50-54 years,540
1999,Nevada,32,55-59 years,751
1999,Nevada,32,60-64 years ,951
1999,Nevada,32,65-69 years,1101
1999,Nevada,32,70-74 years,1050
1999,Nevada,32,75-79 years,850
1999,Nevada,32,80-84 years,521
1999,Nevada,32,85+ years,298
1999,New Hampshire,33,25-29 years,29
1999,New Hampshire,33,30-34 years,64
1999,New Hampshire,33,35-39 years,111
1999,New Hampshire,33,40-44 years,228
1999,New Hampshire,33,45-49 years,281
1999,New Hampshire,33,50-54 years,455
1999,New Hampshire,33,55-59 years,526
1999,New Hampshire,33,60-64 years ,581
1999,New Hampshire,33,65-69 years,746
1999,New Hampshire,33,70-74 years,800
1999,New Hampshire,33,75-79 years,676
1999,New Hampshire,33,80-84 years,476
1999,New Hampshire,33,85+ years,369
1999,New Jersey,34,1-4 years,64
1999,New Jersey,34,5-9 years,64
1999,New Jersey,34,10-14 years,60
1999,New Jersey,34,15-19 years,69
1999,New Jersey,34,20-24 years,77
1999,New Jersey,34,25-29 years,221
1999,New Jersey,34,30-34 years,446
1999,New Jersey,34,35-39 years,822
1999,New Jersey,34,40-44 years,1416
1999,New Jersey,34,45-49 years,1955
1999,New Jersey,34,50-54 years,3061
1999,New Jersey,34,55-59 years,3783
1999,New Jersey,34,60-64 years ,4369
1999,New Jersey,34,65-69 years,5537
1999,New Jersey,34,70-74 years,6384
1999,New Jersey,34,75-79 years,6069
1999,New Jersey,34,80-84 years,4199
1999,New Jersey,34,85+ years,3028
1999,New Mexico,35,5-9 years,18
1999,New Mexico,35,15-19 years,18
1999,New Mexico,35,20-24 years,20
1999,New Mexico,35,25-29 years,36
1999,New Mexico,35,30-34 years,74
1999,New Mexico,35,35-39 years,158
1999,New Mexico,35,40-44 years,242
1999,New Mexico,35,45-49 years,352
1999,New Mexico,35,50-54 years,467
1999,New Mexico,35,55-59 years,608
1999,New Mexico,35,60-64 years ,761
1999,New Mexico,35,65-69 years,968
1999,New Mexico,35,70-74 years,1046
1999,New Mexico,35,75-79 years,907
1999,New Mexico,35,80-84 years,559
1999,New Mexico,35,85+ years,399
1999,New York,36,< 1 year,34
1999,New York,36,1-4 years,166
1999,New York,36,5-9 years,104
1999,New York,36,10-14 years,123
1999,New York,36,15-19 years,157
1999,New York,36,20-24 years,250
1999,New York,36,25-29 years,449
1999,New York,36,30-34 years,974
1999,New York,36,35-39 years,1665
1999,New York,36,40-44 years,2967
1999,New York,36,45-49 years,4363
1999,New York,36,50-54 years,6511
1999,New York,36,55-59 years,7933
1999,New York,36,60-64 years ,9759
1999,New York,36,65-69 years,11695
1999,New York,36,70-74 years,13268
1999,New York,36,75-79 years,11650
1999,New York,36,80-84 years,8132
1999,New York,36,85+ years,7054
1999,North Carolina,37,1-4 years,69
1999,North Carolina,37,5-9 years,48
1999,North Carolina,37,10-14 years,44
1999,North Carolina,37,15-19 years,56
1999,North Carolina,37,20-24 years,97
1999,North Carolina,37,25-29 years,206
1999,North Carolina,37,30-34 years,357
1999,North Carolina,37,35-39 years,698
1999,North Carolina,37,40-44 years,1122
1999,North Carolina,37,45-49 years,1808
1999,North Carolina,37,50-54 years,2607
1999,North Carolina,37,55-59 years,3297
1999,North Carolina,37,60-64 years ,3843
1999,North Carolina,37,65-69 years,4577
1999,North Carolina,37,70-74 years,4858
1999,North Carolina,37,75-79 years,4179
1999,North Carolina,37,80-84 years,2381
1999,North Carolina,37,85+ years,1636
1999,North Dakota,38,25-29 years,18
1999,North Dakota,38,30-34 years,23
1999,North Dakota,38,35-39 years,49
1999,North Dakota,38,40-44 years,69
1999,North Dakota,38,45-49 years,109
1999,North Dakota,38,50-54 years,193
1999,North Dakota,38,55-59 years,281
1999,North Dakota,38,60-64 years ,300
1999,North Dakota,38,65-69 years,399
1999,North Dakota,38,70-74 years,472
1999,North Dakota,38,75-79 years,419
1999,North Dakota,38,80-84 years,299
1999,North Dakota,38,85+ years,289
1999,Ohio,39,< 1 year,21
1999,Ohio,39,1-4 years,90
1999,Ohio,39,5-9 years,78
1999,Ohio,39,10-14 years,71
1999,Ohio,39,15-19 years,89
1999,Ohio,39,20-24 years,143
1999,Ohio,39,25-29 years,279
1999,Ohio,39,30-34 years,506
1999,Ohio,39,35-39 years,929
1999,Ohio,39,40-44 years,1699
1999,Ohio,39,45-49 years,2566
1999,Ohio,39,50-54 years,3662
1999,Ohio,39,55-59 years,4728
1999,Ohio,39,60-64 years ,5886
1999,Ohio,39,65-69 years,7236
1999,Ohio,39,70-74 years,8470
1999,Ohio,39,75-79 years,7592
1999,Ohio,39,80-84 years,4843
1999,Ohio,39,85+ years,3760
1999,Oklahoma,40,1-4 years,35
1999,Oklahoma,40,5-9 years,20
1999,Oklahoma,40,10-14 years,18
1999,Oklahoma,40,15-19 years,23
1999,Oklahoma,40,20-24 years,39
1999,Oklahoma,40,25-29 years,66
1999,Oklahoma,40,30-34 years,130
1999,Oklahoma,40,35-39 years,265
1999,Oklahoma,40,40-44 years,480
1999,Oklahoma,40,45-49 years,691
1999,Oklahoma,40,50-54 years,985
1999,Oklahoma,40,55-59 years,1351
1999,Oklahoma,40,60-64 years ,1667
1999,Oklahoma,40,65-69 years,2203
1999,Oklahoma,40,70-74 years,2304
1999,Oklahoma,40,75-79 years,2116
1999,Oklahoma,40,80-84 years,1381
1999,Oklahoma,40,85+ years,1150
1999,Oregon,41,1-4 years,34
1999,Oregon,41,5-9 years,23
1999,Oregon,41,10-14 years,22
1999,Oregon,41,15-19 years,31
1999,Oregon,41,20-24 years,47
1999,Oregon,41,25-29 years,93
1999,Oregon,41,30-34 years,160
1999,Oregon,41,35-39 years,283
1999,Oregon,41,40-44 years,459
1999,Oregon,41,45-49 years,804
1999,Oregon,41,50-54 years,1214
1999,Oregon,41,55-59 years,1410
1999,Oregon,41,60-64 years ,1794
1999,Oregon,41,65-69 years,2189
1999,Oregon,41,70-74 years,2530
1999,Oregon,41,75-79 years,2370
1999,Oregon,41,80-84 years,1580
1999,Oregon,41,85+ years,1257
1999,Pennsylvania,42,< 1 year,22
1999,Pennsylvania,42,1-4 years,94
1999,Pennsylvania,42,5-9 years,83
1999,Pennsylvania,42,10-14 years,68
1999,Pennsylvania,42,15-19 years,103
1999,Pennsylvania,42,20-24 years,143
1999,Pennsylvania,42,25-29 years,319
1999,Pennsylvania,42,30-34 years,569
1999,Pennsylvania,42,35-39 years,1059
1999,Pennsylvania,42,40-44 years,1955
1999,Pennsylvania,42,45-49 years,3007
1999,Pennsylvania,42,50-54 years,4343
1999,Pennsylvania,42,55-59 years,5396
1999,Pennsylvania,42,60-64 years ,6787
1999,Pennsylvania,42,65-69 years,8952
1999,Pennsylvania,42,70-74 years,11122
1999,Pennsylvania,42,75-79 years,10015
1999,Pennsylvania,42,80-84 years,6726
1999,Pennsylvania,42,85+ years,4755
1999,Rhode Island,44,25-29 years,32
1999,Rhode Island,44,30-34 years,58
1999,Rhode Island,44,35-39 years,111
1999,Rhode Island,44,40-44 years,180
1999,Rhode Island,44,45-49 years,270
1999,Rhode Island,44,50-54 years,386
1999,Rhode Island,44,55-59 years,435
1999,Rhode Island,44,60-64 years ,532
1999,Rhode Island,44,65-69 years,747
1999,Rhode Island,44,70-74 years,881
1999,Rhode Island,44,75-79 years,884
1999,Rhode Island,44,80-84 years,587
1999,Rhode Island,44,85+ years,497
1999,South Carolina,45,1-4 years,22
1999,South Carolina,45,5-9 years,26
1999,South Carolina,45,10-14 years,24
1999,South Carolina,45,15-19 years,25
1999,South Carolina,45,20-24 years,49
1999,South Carolina,45,25-29 years,107
1999,South Carolina,45,30-34 years,209
1999,South Carolina,45,35-39 years,407
1999,South Carolina,45,40-44 years,607
1999,South Carolina,45,45-49 years,972
1999,South Carolina,45,50-54 years,1423
1999,South Carolina,45,55-59 years,1834
1999,South Carolina,45,60-64 years ,2148
1999,South Carolina,45,65-69 years,2619
1999,South Carolina,45,70-74 years,2658
1999,South Carolina,45,75-79 years,2238
1999,South Carolina,45,80-84 years,1311
1999,South Carolina,45,85+ years,896
1999,Texas,48,< 1 year,49
1999,Texas,48,1-4 years,222
1999,Texas,48,5-9 years,160
1999,Texas,48,10-14 years,145
1999,Texas,48,15-19 years,197
1999,Texas,48,20-24 years,309
1999,Texas,48,25-29 years,540
1999,Texas,48,30-34 years,967
1999,Texas,48,35-39 years,1744
1999,Texas,48,40-44 years,2828
1999,Texas,48,45-49 years,4041
1999,Texas,48,50-54 years,5776
1999,Texas,48,55-59 years,7019
1999,Texas,48,60-64 years ,8019
1999,Texas,48,65-69 years,10496
1999,Texas,48,70-74 years,10855
1999,Texas,48,75-79 years,9472
1999,Texas,48,80-84 years,5883
1999,Texas,48,85+ years,4988
1999,Utah,49,1-4 years,26
1999,Utah,49,5-9 years,16
1999,Utah,49,10-14 years,16
1999,Utah,49,15-19 years,19
1999,Utah,49,20-24 years,61
1999,Utah,49,25-29 years,76
1999,Utah,49,30-34 years,89
1999,Utah,49,35-39 years,139
1999,Utah,49,40-44 years,225
1999,Utah,49,45-49 years,322
1999,Utah,49,50-54 years,430
1999,Utah,49,55-59 years,545
1999,Utah,49,60-64 years ,674
1999,Utah,49,65-69 years,834
1999,Utah,49,70-74 years,848
1999,Utah,49,75-79 years,770
1999,Utah,49,80-84 years,552
1999,Utah,49,85+ years,404
1999,Vermont,50,30-34 years,40
1999,Vermont,50,35-39 years,63
1999,Vermont,50,40-44 years,122
1999,Vermont,50,45-49 years,167
1999,Vermont,50,50-54 years,227
1999,Vermont,50,55-59 years,282
1999,Vermont,50,60-64 years ,321
1999,Vermont,50,65-69 years,399
1999,Vermont,50,70-74 years,421
1999,Vermont,50,75-79 years,407
1999,Vermont,50,80-84 years,258
1999,Vermont,50,85+ years,211
1999,Washington,53,1-4 years,55
1999,Washington,53,5-9 years,34
1999,Washington,53,10-14 years,43
1999,Washington,53,15-19 years,59
1999,Washington,53,20-24 years,74
1999,Washington,53,25-29 years,170
1999,Washington,53,30-34 years,291
1999,Washington,53,35-39 years,582
1999,Washington,53,40-44 years,957
1999,Washington,53,45-49 years,1428
1999,Washington,53,50-54 years,1992
1999,Washington,53,55-59 years,2547
1999,Washington,53,60-64 years ,2808
1999,Washington,53,65-69 years,3421
1999,Washington,53,70-74 years,3842
1999,Washington,53,75-79 years,3531
1999,Washington,53,80-84 years,2469
1999,Washington,53,85+ years,1794
1999,West Virginia,54,1-4 years,17
1999,West Virginia,54,20-24 years,25
1999,West Virginia,54,25-29 years,59
1999,West Virginia,54,30-34 years,81
1999,West Virginia,54,35-39 years,157
1999,West Virginia,54,40-44 years,297
1999,West Virginia,54,45-49 years,474
1999,West Virginia,54,50-54 years,691
1999,West Virginia,54,55-59 years,823
1999,West Virginia,54,60-64 years ,1198
1999,West Virginia,54,65-69 years,1362
1999,West Virginia,54,70-74 years,1605
1999,West Virginia,54,75-79 years,1416
1999,West Virginia,54,80-84 years,865
1999,West Virginia,54,85+ years,667
1999,Wisconsin,55,1-4 years,35
1999,Wisconsin,55,5-9 years,35
1999,Wisconsin,55,10-14 years,32
1999,Wisconsin,55,15-19 years,52
1999,Wisconsin,55,20-24 years,96
1999,Wisconsin,55,25-29 years,144
1999,Wisconsin,55,30-34 years,255
1999,Wisconsin,55,35-39 years,473
1999,Wisconsin,55,40-44 years,807
1999,Wisconsin,55,45-49 years,1190
1999,Wisconsin,55,50-54 years,1692
1999,Wisconsin,55,55-59 years,2181
1999,Wisconsin,55,60-64 years ,2796
